TEAM_ID,TEAM_NAME,SORT_ORDER,G,SHOT_TYPE_RANGE,REB_FREQUENCY,OREB,DREB,REB,C_OREB,C_DREB,C_REB,C_REB_PCT,UC_OREB,UC_DREB,UC_REB,UC_REB_PCT
1610612738,Boston Celtics,2,16,Miss 2FG,0.472,65,273,338,36,79,115,0.34,29,194,223,0.66
1610612738,Boston Celtics,3,16,Miss 3FG,0.499,98,259,357,47,64,111,0.311,51,195,246,0.689
1610612738,Boston Celtics,2,3,Miss 2FG,0.475,6,42,48,3,10,13,0.271,3,32,35,0.729
1610612738,Boston Celtics,3,3,Miss 3FG,0.465,10,37,47,6,3,9,0.191,4,34,38,0.809
1610612739,Cleveland Cavaliers,2,5,Miss 2FG,0.489,32,82,114,25,25,50,0.439,7,57,64,0.561
1610612739,Cleveland Cavaliers,3,5,Miss 3FG,0.464,18,90,108,9,25,34,0.315,9,65,74,0.685
1610612739,Cleveland Cavaliers,2,7,Miss 2FG,0.474,24,86,110,15,14,29,0.264,9,72,81,0.736
1610612739,Cleveland Cavaliers,3,7,Miss 3FG,0.487,17,96,113,6,22,28,0.248,11,74,85,0.752
1610612740,New Orleans Pelicans,2,4,Miss 2FG,0.503,27,64,91,21,14,35,0.385,6,50,56,0.615
1610612740,New Orleans Pelicans,3,4,Miss 3FG,0.464,22,62,84,11,13,24,0.286,11,49,60,0.714
1610612742,Dallas Mavericks,2,13,Miss 2FG,0.482,76,201,277,45,70,115,0.415,31,131,162,0.585
1610612742,Dallas Mavericks,3,13,Miss 3FG,0.49,70,212,282,37,47,84,0.298,33,165,198,0.702
1610612742,Dallas Mavericks,2,9,Miss 2FG,0.52,47,146,193,26,29,55,0.285,21,117,138,0.715
1610612742,Dallas Mavericks,3,9,Miss 3FG,0.431,38,122,160,20,31,51,0.319,18,91,109,0.681
1610612743,Denver Nuggets,2,7,Miss 2FG,0.477,41,101,142,26,18,44,0.31,15,83,98,0.69
1610612743,Denver Nuggets,3,7,Miss 3FG,0.47,27,113,140,15,27,42,0.3,12,86,98,0.7
1610612743,Denver Nuggets,2,5,Miss 2FG,0.524,34,76,110,25,21,46,0.418,9,55,64,0.582
1610612743,Denver Nuggets,3,5,Miss 3FG,0.424,17,72,89,12,13,25,0.281,5,59,64,0.719
1610612746,LA Clippers,2,2,Miss 2FG,0.514,12,26,38,6,9,15,0.395,6,17,23,0.605
1610612746,LA Clippers,3,2,Miss 3FG,0.446,3,30,33,2,7,9,0.273,1,23,24,0.727
1610612746,LA Clippers,2,4,Miss 2FG,0.433,29,48,77,17,18,35,0.455,12,30,42,0.545
1610612746,LA Clippers,3,4,Miss 3FG,0.489,22,65,87,10,12,22,0.253,12,53,65,0.747
1610612747,Los Angeles Lakers,2,1,Miss 2FG,0.5,4,19,23,1,2,3,0.13,3,17,20,0.87
1610612747,Los Angeles Lakers,3,1,Miss 3FG,0.478,4,18,22,2,3,5,0.227,2,15,17,0.773
1610612747,Los Angeles Lakers,2,4,Miss 2FG,0.51,19,61,80,13,22,35,0.438,6,39,45,0.563
1610612747,Los Angeles Lakers,3,4,Miss 3FG,0.465,9,64,73,4,13,17,0.233,5,51,56,0.767
1610612748,Miami Heat,2,1,Miss 2FG,0.538,1,20,21,1,4,5,0.238,0,16,16,0.762
1610612748,Miami Heat,3,1,Miss 3FG,0.385,3,12,15,2,1,3,0.2,1,11,12,0.8
1610612748,Miami Heat,2,4,Miss 2FG,0.44,12,50,62,5,15,20,0.323,7,35,42,0.677
1610612748,Miami Heat,3,4,Miss 3FG,0.525,12,62,74,2,15,17,0.23,10,47,57,0.77
1610612749,Milwaukee Bucks,2,2,Miss 2FG,0.451,11,30,41,4,4,8,0.195,7,26,33,0.805
1610612749,Milwaukee Bucks,3,2,Miss 3FG,0.473,5,38,43,2,8,10,0.233,3,30,33,0.767
1610612749,Milwaukee Bucks,2,4,Miss 2FG,0.473,25,53,78,9,13,22,0.282,16,40,56,0.718
1610612749,Milwaukee Bucks,3,4,Miss 3FG,0.467,16,61,77,3,11,14,0.182,13,50,63,0.818
1610612750,Minnesota Timberwolves,2,9,Miss 2FG,0.525,57,161,218,28,43,71,0.326,29,118,147,0.674
1610612750,Minnesota Timberwolves,3,9,Miss 3FG,0.436,42,139,181,20,20,40,0.221,22,119,141,0.779
1610612750,Minnesota Timberwolves,2,7,Miss 2FG,0.538,39,101,140,25,29,54,0.386,14,72,86,0.614
1610612750,Minnesota Timberwolves,3,7,Miss 3FG,0.4,28,76,104,15,13,28,0.269,13,63,76,0.731
1610612752,New York Knicks,2,7,Miss 2FG,0.525,67,109,176,45,27,72,0.409,22,82,104,0.591
1610612752,New York Knicks,3,7,Miss 3FG,0.421,38,103,141,20,16,36,0.255,18,87,105,0.745
1610612752,New York Knicks,2,6,Miss 2FG,0.569,41,83,124,28,18,46,0.371,13,65,78,0.629
1610612752,New York Knicks,3,6,Miss 3FG,0.404,23,65,88,13,12,25,0.284,10,53,63,0.716
1610612753,Orlando Magic,2,3,Miss 2FG,0.493,19,50,69,13,9,22,0.319,6,41,47,0.681
1610612753,Orlando Magic,3,3,Miss 3FG,0.471,17,49,66,7,8,15,0.227,10,41,51,0.773
1610612753,Orlando Magic,2,4,Miss 2FG,0.503,30,56,86,21,12,33,0.384,9,44,53,0.616
1610612753,Orlando Magic,3,4,Miss 3FG,0.444,15,61,76,6,11,17,0.224,9,50,59,0.776
1610612754,Indiana Pacers,2,8,Miss 2FG,0.494,39,134,173,26,28,54,0.312,13,106,119,0.688
1610612754,Indiana Pacers,3,8,Miss 3FG,0.44,40,114,154,21,26,47,0.305,19,88,107,0.695
1610612754,Indiana Pacers,2,9,Miss 2FG,0.484,57,111,168,37,29,66,0.393,20,82,102,0.607
1610612754,Indiana Pacers,3,9,Miss 3FG,0.481,35,132,167,22,31,53,0.317,13,101,114,0.683
1610612755,Philadelphia 76ers,2,2,Miss 2FG,0.549,12,33,45,10,11,21,0.467,2,22,24,0.533
1610612755,Philadelphia 76ers,3,2,Miss 3FG,0.402,8,25,33,7,6,13,0.394,1,19,20,0.606
1610612755,Philadelphia 76ers,2,4,Miss 2FG,0.57,28,66,94,20,17,37,0.394,8,49,57,0.606
1610612755,Philadelphia 76ers,3,4,Miss 3FG,0.358,16,43,59,10,14,24,0.407,6,29,35,0.593
1610612756,Phoenix Suns,2,4,Miss 2FG,0.469,14,47,61,8,16,24,0.393,6,31,37,0.607
1610612756,Phoenix Suns,3,4,Miss 3FG,0.469,12,49,61,5,15,20,0.328,7,34,41,0.672
1610612760,Oklahoma City Thunder,2,6,Miss 2FG,0.5,32,102,134,21,30,51,0.381,11,72,83,0.619
1610612760,Oklahoma City Thunder,3,6,Miss 3FG,0.459,26,97,123,6,26,32,0.26,20,71,91,0.74
1610612760,Oklahoma City Thunder,2,4,Miss 2FG,0.497,13,59,72,9,19,28,0.389,4,40,44,0.611
1610612760,Oklahoma City Thunder,3,4,Miss 3FG,0.421,15,46,61,7,13,20,0.328,8,33,41,0.672
