TEAM_ID,TEAM_NAME,SORT_ORDER,G,REB_NUM_CONTESTING_RANGE,REB_FREQUENCY,OREB,DREB,REB,C_OREB,C_DREB,C_REB,C_REB_PCT,UC_OREB,UC_DREB,UC_REB,UC_REB_PCT
1610612738,Boston Celtics,1,16,0 Contesting Rebounders,0.684,85,405,490,0,0,0,0.0,85,405,490,1.0
1610612738,Boston Celtics,2,16,1 Contesting Rebounder,0.289,70,137,207,70,137,207,1.0,0,0,0,0.0
1610612738,Boston Celtics,3,16,2+ Contesting Rebounders,0.027,13,6,19,13,6,19,1.0,0,0,0,0.0
1610612738,Boston Celtics,1,3,0 Contesting Rebounders,0.782,7,72,79,0,0,0,0.0,7,72,79,1.0
1610612738,Boston Celtics,2,3,1 Contesting Rebounder,0.188,7,12,19,7,12,19,1.0,0,0,0,0.0
1610612738,Boston Celtics,3,3,2+ Contesting Rebounders,0.03,2,1,3,2,1,3,1.0,0,0,0,0.0
1610612739,Cleveland Cavaliers,1,5,0 Contesting Rebounders,0.639,16,133,149,0,0,0,0.0,16,133,149,1.0
1610612739,Cleveland Cavaliers,2,5,1 Contesting Rebounder,0.305,24,47,71,24,47,71,1.0,0,0,0,0.0
1610612739,Cleveland Cavaliers,3,5,2+ Contesting Rebounders,0.056,10,3,13,10,3,13,1.0,0,0,0,0.0
1610612739,Cleveland Cavaliers,1,7,0 Contesting Rebounders,0.754,21,154,175,0,0,0,0.0,21,154,175,1.0
1610612739,Cleveland Cavaliers,2,7,1 Contesting Rebounder,0.228,17,36,53,17,36,53,1.0,0,0,0,0.0
1610612739,Cleveland Cavaliers,3,7,2+ Contesting Rebounders,0.017,4,0,4,4,0,4,1.0,0,0,0,0.0
1610612740,New Orleans Pelicans,1,4,0 Contesting Rebounders,0.674,17,105,122,0,0,0,0.0,17,105,122,1.0
1610612740,New Orleans Pelicans,2,4,1 Contesting Rebounder,0.265,24,24,48,24,24,48,1.0,0,0,0,0.0
1610612740,New Orleans Pelicans,3,4,2+ Contesting Rebounders,0.061,8,3,11,8,3,11,1.0,0,0,0,0.0
1610612742,Dallas Mavericks,1,13,0 Contesting Rebounders,0.654,67,309,376,0,0,0,0.0,67,309,376,1.0
1610612742,Dallas Mavericks,2,13,1 Contesting Rebounder,0.323,73,113,186,73,113,186,1.0,0,0,0,0.0
1610612742,Dallas Mavericks,3,13,2+ Contesting Rebounders,0.023,9,4,13,9,4,13,1.0,0,0,0,0.0
1610612742,Dallas Mavericks,1,9,0 Contesting Rebounders,0.714,43,222,265,0,0,0,0.0,43,222,265,1.0
1610612742,Dallas Mavericks,2,9,1 Contesting Rebounder,0.248,34,58,92,34,58,92,1.0,0,0,0,0.0
1610612742,Dallas Mavericks,3,9,2+ Contesting Rebounders,0.038,12,2,14,12,2,14,1.0,0,0,0,0.0
1610612743,Denver Nuggets,1,7,0 Contesting Rebounders,0.711,27,185,212,0,0,0,0.0,27,185,212,1.0
1610612743,Denver Nuggets,2,7,1 Contesting Rebounder,0.258,33,44,77,33,44,77,1.0,0,0,0,0.0
1610612743,Denver Nuggets,3,7,2+ Contesting Rebounders,0.03,8,1,9,8,1,9,1.0,0,0,0,0.0
1610612743,Denver Nuggets,1,5,0 Contesting Rebounders,0.662,14,125,139,0,0,0,0.0,14,125,139,1.0
1610612743,Denver Nuggets,2,5,1 Contesting Rebounder,0.281,28,31,59,28,31,59,1.0,0,0,0,0.0
1610612743,Denver Nuggets,3,5,2+ Contesting Rebounders,0.057,9,3,12,9,3,12,1.0,0,0,0,0.0
1610612746,LA Clippers,1,2,0 Contesting Rebounders,0.676,7,43,50,0,0,0,0.0,7,43,50,1.0
1610612746,LA Clippers,2,2,1 Contesting Rebounder,0.297,7,15,22,7,15,22,1.0,0,0,0,0.0
1610612746,LA Clippers,3,2,2+ Contesting Rebounders,0.027,1,1,2,1,1,2,1.0,0,0,0,0.0
1610612746,LA Clippers,1,4,0 Contesting Rebounders,0.68,25,96,121,0,0,0,0.0,25,96,121,1.0
1610612746,LA Clippers,2,4,1 Contesting Rebounder,0.27,20,28,48,20,28,48,1.0,0,0,0,0.0
1610612746,LA Clippers,3,4,2+ Contesting Rebounders,0.051,7,2,9,7,2,9,1.0,0,0,0,0.0
1610612747,Los Angeles Lakers,1,1,0 Contesting Rebounders,0.826,5,33,38,0,0,0,0.0,5,33,38,1.0
1610612747,Los Angeles Lakers,2,1,1 Contesting Rebounder,0.13,1,5,6,1,5,6,1.0,0,0,0,0.0
1610612747,Los Angeles Lakers,3,1,2+ Contesting Rebounders,0.043,2,0,2,2,0,2,1.0,0,0,0,0.0
1610612747,Los Angeles Lakers,1,4,0 Contesting Rebounders,0.669,12,93,105,0,0,0,0.0,12,93,105,1.0
1610612747,Los Angeles Lakers,2,4,1 Contesting Rebounder,0.299,14,33,47,14,33,47,1.0,0,0,0,0.0
1610612747,Los Angeles Lakers,3,4,2+ Contesting Rebounders,0.032,3,2,5,3,2,5,1.0,0,0,0,0.0
1610612748,Miami Heat,1,1,0 Contesting Rebounders,0.795,1,30,31,0,0,0,0.0,1,30,31,1.0
1610612748,Miami Heat,2,1,1 Contesting Rebounder,0.154,2,4,6,2,4,6,1.0,0,0,0,0.0
1610612748,Miami Heat,3,1,2+ Contesting Rebounders,0.051,1,1,2,1,1,2,1.0,0,0,0,0.0
1610612748,Miami Heat,1,4,0 Contesting Rebounders,0.738,17,87,104,0,0,0,0.0,17,87,104,1.0
1610612748,Miami Heat,2,4,1 Contesting Rebounder,0.262,7,30,37,7,30,37,1.0,0,0,0,0.0
1610612749,Milwaukee Bucks,1,2,0 Contesting Rebounders,0.802,10,63,73,0,0,0,0.0,10,63,73,1.0
1610612749,Milwaukee Bucks,2,2,1 Contesting Rebounder,0.176,4,12,16,4,12,16,1.0,0,0,0,0.0
1610612749,Milwaukee Bucks,3,2,2+ Contesting Rebounders,0.022,2,0,2,2,0,2,1.0,0,0,0,0.0
1610612749,Milwaukee Bucks,1,4,0 Contesting Rebounders,0.782,29,100,129,0,0,0,0.0,29,100,129,1.0
1610612749,Milwaukee Bucks,2,4,1 Contesting Rebounder,0.2,10,23,33,10,23,33,1.0,0,0,0,0.0
1610612749,Milwaukee Bucks,3,4,2+ Contesting Rebounders,0.018,2,1,3,2,1,3,1.0,0,0,0,0.0
1610612750,Minnesota Timberwolves,1,9,0 Contesting Rebounders,0.733,52,252,304,0,0,0,0.0,52,252,304,1.0
1610612750,Minnesota Timberwolves,2,9,1 Contesting Rebounder,0.246,40,62,102,40,62,102,1.0,0,0,0,0.0
1610612750,Minnesota Timberwolves,3,9,2+ Contesting Rebounders,0.022,8,1,9,8,1,9,1.0,0,0,0,0.0
1610612750,Minnesota Timberwolves,1,7,0 Contesting Rebounders,0.685,30,148,178,0,0,0,0.0,30,148,178,1.0
1610612750,Minnesota Timberwolves,2,7,1 Contesting Rebounder,0.288,33,42,75,33,42,75,1.0,0,0,0,0.0
1610612750,Minnesota Timberwolves,3,7,2+ Contesting Rebounders,0.027,7,0,7,7,0,7,1.0,0,0,0,0.0
1610612752,New York Knicks,1,7,0 Contesting Rebounders,0.678,44,183,227,0,0,0,0.0,44,183,227,1.0
1610612752,New York Knicks,2,7,1 Contesting Rebounder,0.284,54,41,95,54,41,95,1.0,0,0,0,0.0
1610612752,New York Knicks,3,7,2+ Contesting Rebounders,0.039,11,2,13,11,2,13,1.0,0,0,0,0.0
1610612752,New York Knicks,1,6,0 Contesting Rebounders,0.674,23,124,147,0,0,0,0.0,23,124,147,1.0
1610612752,New York Knicks,2,6,1 Contesting Rebounder,0.28,33,28,61,33,28,61,1.0,0,0,0,0.0
1610612752,New York Knicks,3,6,2+ Contesting Rebounders,0.046,8,2,10,8,2,10,1.0,0,0,0,0.0
1610612753,Orlando Magic,1,3,0 Contesting Rebounders,0.736,17,86,103,0,0,0,0.0,17,86,103,1.0
1610612753,Orlando Magic,2,3,1 Contesting Rebounder,0.221,14,17,31,14,17,31,1.0,0,0,0,0.0
1610612753,Orlando Magic,3,3,2+ Contesting Rebounders,0.043,6,0,6,6,0,6,1.0,0,0,0,0.0
1610612753,Orlando Magic,1,4,0 Contesting Rebounders,0.708,20,101,121,0,0,0,0.0,20,101,121,1.0
1610612753,Orlando Magic,2,4,1 Contesting Rebounder,0.251,21,22,43,21,22,43,1.0,0,0,0,0.0
1610612753,Orlando Magic,3,4,2+ Contesting Rebounders,0.041,6,1,7,6,1,7,1.0,0,0,0,0.0
1610612754,Indiana Pacers,1,8,0 Contesting Rebounders,0.711,34,215,249,0,0,0,0.0,34,215,249,1.0
1610612754,Indiana Pacers,2,8,1 Contesting Rebounder,0.254,36,53,89,36,53,89,1.0,0,0,0,0.0
1610612754,Indiana Pacers,3,8,2+ Contesting Rebounders,0.034,11,1,12,11,1,12,1.0,0,0,0,0.0
1610612754,Indiana Pacers,1,9,0 Contesting Rebounders,0.657,34,194,228,0,0,0,0.0,34,194,228,1.0
1610612754,Indiana Pacers,2,9,1 Contesting Rebounder,0.288,45,55,100,45,55,100,1.0,0,0,0,0.0
1610612754,Indiana Pacers,3,9,2+ Contesting Rebounders,0.055,14,5,19,14,5,19,1.0,0,0,0,0.0
1610612755,Philadelphia 76ers,1,2,0 Contesting Rebounders,0.585,3,45,48,0,0,0,0.0,3,45,48,1.0
1610612755,Philadelphia 76ers,2,2,1 Contesting Rebounder,0.341,12,16,28,12,16,28,1.0,0,0,0,0.0
1610612755,Philadelphia 76ers,3,2,2+ Contesting Rebounders,0.073,5,1,6,5,1,6,1.0,0,0,0,0.0
1610612755,Philadelphia 76ers,1,4,0 Contesting Rebounders,0.63,14,90,104,0,0,0,0.0,14,90,104,1.0
1610612755,Philadelphia 76ers,2,4,1 Contesting Rebounder,0.303,20,30,50,20,30,50,1.0,0,0,0,0.0
1610612755,Philadelphia 76ers,3,4,2+ Contesting Rebounders,0.067,10,1,11,10,1,11,1.0,0,0,0,0.0
1610612756,Phoenix Suns,1,4,0 Contesting Rebounders,0.662,16,70,86,0,0,0,0.0,16,70,86,1.0
1610612756,Phoenix Suns,2,4,1 Contesting Rebounder,0.285,8,29,37,8,29,37,1.0,0,0,0,0.0
1610612756,Phoenix Suns,3,4,2+ Contesting Rebounders,0.054,5,2,7,5,2,7,1.0,0,0,0,0.0
1610612760,Oklahoma City Thunder,1,6,0 Contesting Rebounders,0.69,31,154,185,0,0,0,0.0,31,154,185,1.0
1610612760,Oklahoma City Thunder,2,6,1 Contesting Rebounder,0.269,20,52,72,20,52,72,1.0,0,0,0,0.0
1610612760,Oklahoma City Thunder,3,6,2+ Contesting Rebounders,0.041,7,4,11,7,4,11,1.0,0,0,0,0.0
1610612760,Oklahoma City Thunder,1,4,0 Contesting Rebounders,0.669,13,84,97,0,0,0,0.0,13,84,97,1.0
1610612760,Oklahoma City Thunder,2,4,1 Contesting Rebounder,0.297,14,29,43,14,29,43,1.0,0,0,0,0.0
1610612760,Oklahoma City Thunder,3,4,2+ Contesting Rebounders,0.034,2,3,5,2,3,5,1.0,0,0,0,0.0
